Date,kW1diff,kW1Hrs,kW2diff,kW2Hrs,kW3diff,kW3Hrs,kW4diff,kW4Hrs,kW5diff,kW5Hrs,kW6diff,kW6Hrs,kW7diff,kW7Hrs,kW8diff,kW8Hrs,kW9diff,kW9Hrs,kW10diff,kW10Hrs,kW11diff,kW11Hrs,kW12diff,kW12Hrs,kW13diff,kW13Hrs,kW14diff,kW14Hrs,kW15diff,kW15Hrs,kW16diff,kW16Hrs
2013-07-04,24.800000000000004,1.25,31.199999999999996,4.0,-8.799999999999997,0.5,5.599999999999994,5.0,8.200000000000003,2.25,7.6000000000000085,1.25,-27.80000000000001,2.0,-11.799999999999997,0.75,9.400000000000006,1.0,-15.0,0.5,11.200000000000003,0.75,-5.800000000000011,0.5,12.0,1.0,-10.799999999999997,0.5,-26.599999999999994,2.0,-0.8000000000000043,0.5
2013-07-05,23.799999999999997,1.25,89.00000000000001,4.0,-27.200000000000017,0.5,-30.599999999999994,0.5,17.799999999999997,0.5,-8.200000000000003,0.75,13.200000000000003,2.25,-14.599999999999994,6.0,-43.6,0.5,-2.200000000000003,1.5,13.000000000000007,0.75,-13.400000000000006,0.75,12.0,0.5,-7.600000000000001,0.5,-22.0,3.0,-4.399999999999999,0.5
2013-07-06,14.799999999999997,1.0,16.0,8.5,-6.599999999999994,0.5,12.399999999999991,3.25,-18.39999999999999,0.75,15.399999999999991,0.5,-4.999999999999993,1.0,13.800000000000004,0.5,171.0,1.0,-4.0,0.75,-19.599999999999994,1.0,-29.400000000000006,1.5,5.799999999999983,0.75,-12.399999999999977,0.5,-6.0,0.75,-2.4000000000000057,1.5
2013-07-07,-7.0,0.75,0.4000000000000057,3.25,-10.0,0.5,-103.4,1.0,20.800000000000004,1.75,4.199999999999989,2.75,10.200000000000003,2.0,-10.0,0.5,-0.20000000000000284,0.75,-6.199999999999989,1.25,-44.2,1.75,-5.199999999999999,1.25,11.399999999999999,0.5,1.3999999999999986,2.75,-2.3999999999999986,2.5,-2.799999999999997,0.5
2013-07-08,9.600000000000001,4.75,145.2,0.5,-9.200000000000017,1.0,-25.399999999999977,0.75,-10.800000000000011,1.5,12.199999999999989,1.0,-9.0,2.0,24.0,0.5,-3.1999999999999886,1.0,0.0,1.0,-9.0,1.25,-70.4,1.0,12.400000000000006,2.5,-53.2,1.5,-14.399999999999999,1.5,3.200000000000003,2.0
2013-07-09,-5.799999999999997,3.75,109.0,1.25,2.200000000000017,0.75,-12.800000000000011,0.75,4.800000000000011,1.5,24.399999999999977,2.0,6.800000000000011,1.25,-25.400000000000006,0.5,12.400000000000006,0.5,-16.400000000000006,0.5,-44.19999999999999,0.5,-6.6000000000000085,0.75,-42.8,2.25,9.0,4.5,-14.200000000000003,0.75,0.0,2.25
2013-07-10,116.8,5.0,4.0,0.75,-27.599999999999994,0.75,20.19999999999999,1.0,2.8000000000000114,2.25,-25.400000000000006,1.75,38.0,0.5,-59.0,1.25,-15.599999999999994,2.0,-51.0,1.0,-2.799999999999997,1.0,5.199999999999996,1.25,-6.199999999999996,0.75,-3.0,2.25,-5.200000000000003,1.75,0.8000000000000007,0.5
2013-07-11,60.199999999999996,5.0,-2.799999999999997,1.25,-8.400000000000006,0.75,16.60000000000001,1.0,13.799999999999997,2.25,4.0,1.0,-8.400000000000006,1.25,-22.39999999999999,0.75,7.200000000000003,0.5,-19.200000000000003,1.5,-37.0,1.0,7.799999999999997,2.0,-2.799999999999997,1.0,-7.0,2.0,-3.0,2.0,0.7999999999999972,0.5
2013-07-12,23.0,4.75,61.0,0.5,-27.799999999999997,1.0,32.400000000000006,2.75,0.5999999999999943,0.75,-14.0,1.75,5.0,0.5,14.0,0.5,-41.0,0.75,10.599999999999994,1.5,-14.199999999999989,0.5,-42.60000000000001,1.0,2.0,4.5,-5.0,0.5,-4.0,2.0,0.0,0.5
2013-07-13,22.0,4.75,7.799999999999997,1.75,-9.0,1.0,5.600000000000001,0.5,27.6,0.75,-3.200000000000003,0.5,-38.199999999999996,2.75,-8.0,1.0,-6.0,1.0,7.0,0.5,-7.200000000000003,0.75,8.800000000000004,0.5,-6.400000000000006,1.5,6.400000000000006,1.0,-7.800000000000004,5.25,-1.3999999999999986,0.25
